abdomen,NNS,abdomen
acclaim,JJ,acclaimed
accompany,JJ,accompanying
accustome,JJ,accustomed
addict,JJ,addicted
admire,JJ,admired
alarmy,JJ,alarming
alienate,JJ,alienated
allege,JJ,alleged
amaze,JJ,amazed
aneurysm,NNS,aneurysm
animate,JJ,animated
annoy,JJ,annoying
antigovernm,JJ,antigovernment
astoundy,JJ,astounding
autobiograph,JJ,autobiographer
babus,NN,babi
bake,JJ,baked
bankrol,VBN,bankrolled
befitty,JJ,befitting
beleaguer,JJ,beleaguered
bertie,NNS,bertie
bless,VBN,blessed
blog,VBP,blog
bloodlet,VBG,bloodletting
boa,NN,boas
body,JJ,bodied
boomy,JJ,booming
bore,JJ,bored
bottle,JJ,bottled
box,JJ,boxed
broadcast,VBN,broadcast
bruise,JJ,bruised
buddy,JJ,budding
burn,VBN,burned
busin,JJ,business
businesspeople,NNS,businesspeople
cabare,JJ,cabaret
caja,NN,cajas
can,JJ,canned
carte,NNS,carte
celebrate,JJ,celebrated
cent,JJ,center
challengy,JJ,challenging
charmy,JJ,charming
chilus,JJ,chili
china,NNS,chinas
chop,JJ,chopped
civilize,JJ,civilized
clad,VBN,clad
clasp,JJ,clasped
clergy,NNS,clergy
clutter,JJ,cluttered
cocoum,NN,cocoa
combine,JJ,combined
compute,NN,computing
comy,JJ,coming
confuse,JJ,confusing
contest,JJ,contested
continue,JJ,continued
cook,JJ,cooked
coordinate,JJ,coordinated
corn,JJ,corned
correspondy,JJ,corresponding
covete,JJ,coveted
cripply,JJ,crippling
culturatus,NNS,culturati
dary,JJ,daring
defensemen,NNS,defensemen
delay,JJ,delayed
delight,JJ,delighted
devastaty,JJ,devastating
dex,JJ,diced
diasporum,NN,diaspora
diminishe,JJ,diminished
din,JJR,diner
disgrace,JJ,disgraced
dismay,JJ,dismaying
dissatisfy,JJ,dissatisfied
distress,JJ,distressed
divey,JJR,divey
dominante,VBD,dominante
dramatize,JJ,dramatized
dread,JJ,dreaded
dream,VBN,dreamed
dress,JJ,dressed
elevate,JJ,elevated
elongate,JJ,elongated
embarrass,JJ,embarrassed
encourage,JJ,encouraging
entrenche,JJ,entrenched
estrang,JJ,estranged
exaggerate,JJ,exaggerated
exhaust,JJ,exhausted
extravaganza,NN,extravaganzas
fame,JJ,famed
fashione,JJ,fashioned
feature,JJ,featured
finish,JJ,finished
fit,VBD,fit
fit,VBN,fitted
flattery,JJ,flattering
fled,JJ,fledged
flotillum,NN,flotilla
focus,VBN,focused
focuse,JJ,focused
folksy,VBN,folksy
follow,JJ,following
forecast,VBN,forecast
forfeiture,NNS,forfeitures
found,JJ,founding
fragment,JJ,fragmented
frighten,JJ,frightened
frugalalert,VBG,frugalalerts
frustraty,JJ,frustrating
fuel,VBN,fueled
gadget,VBP,gadget
gauzy,NNS,gauzy
get,VBN,gotten
ghost-write,VBP,ghostwrote
gild,JJ,gilded
gon,VBG,gon
governm,JJ,government
gown,VBN,gown
graffito,NN,graffiti
hand,JJ,handed
heart,JJ,hearted
heat,JJ,heated
helus,JJ,heli
horrify,JJ,horrified
humiliaty,JJ,humiliating
impoverish,JJ,impoverished
impress,JJ,impressed
improve,JJ,improved
incline,JJ,inclined
individualize,JJ,individualized
ingrain,JJ,ingrained
inspire,JJ,inspired
inspiry,JJ,inspiring
intrigu,JJ,intriguing
invent,JJ,invented
involve,JJ,involved
islamy,JJ,islamist
israe,JJ,israeli
knit,VBD,knit
kooky,NNS,kooky
kronor,NNS,kronor
later,RBR,later
layup,NNS,layup
leady,JJ,leading
leak,JJ,leaked
leap,VBD,leapt
learn,VBN,learned
least,JJS,least
lecture,NNS,lectures
leftov,RB,leftover
lesser,JJR,lesser
lesser,RBR,lesser
lie,VB,lay
lie,VBN,lied
light,VBN,lighted
load,JJ,loaded
longstandy,JJ,longstanding
macula,JJ,macular
mail,NNS,mails
marquee,NNS,marquee
marvel,VBG,marveling
masalum,NN,masala
mat,RB,matter
matchup,VBP,matchup
medium,NN,media
mega,NNS,mega
memorabilia,NNS,memorabilia
men,JJ,meta
menace,JJ,menacing
merit,NNS,merits
middly,JJ,middling
mind,JJ,minded
miss,JJ,missed
moderny,JJ,modernist
month,JJ,monthlong
more,JJR,more
most,JJS,most
motivate,JJ,motivated
mouth,JJ,mouthed
multiy,JJ,multiyear
mute,JJ,muted
naggy,JJ,nagging
narrate,JJ,narrated
nature,JJ,natured
nose,JJ,nosed
nudibranch,RB,nudibranchs
oil,JJ,oiled
oil,NNS,oils
orchest,JJ,orchestra
organize,JJ,organized
oth,JJ,other
outrage,JJ,outraged
overarch,JJ,overarching
overheat,JJ,overheated
overlook,JJ,overlooked
overrate,JJ,overrated
overwhelm,JJ,overwhelmed
pack,JJ,packed
pakisty,JJ,pakistani
panel,VBN,paneled
paralyze,JJ,paralyzed
parka,NN,parkas
pent,VBN,pent
pestle,JJ,pestled
phillip,VBP,phillip
pitch,JJ,pitched
plan,JJ,planned
plumb,NN,plumbing
populate,JJ,populated
populy,JJ,populist
potte,JJ,potted
promise,JJ,promising
prove,VBN,proved
pry,RB,prior
purport,JJ,purported
puzzle,JJ,puzzled
quinoum,NN,quinoa
quit,VBD,quit
reader,VBP,reader
reclaim,JJ,reclaimed
reference,JJ,referenced
regimen,NNS,regimen
renminbus,NN,renminbi
renminbus,NNS,renminbi
respect,JJ,respected
revolvy,JJ,revolving
ring,VB,rang
roadle,JJ,roadless
roast,JJ,roasted
run,VBN,run
sadry,JJ,sadrist
sanitize,JJ,sanitized
sashimus,NN,sashimi
satisfy,JJ,satisfied
saudus,JJ,saudi
scare,JJ,scared
scus,NN,sci
sear,JJ,seared
season,JJ,seasoned
semus,JJ,semi
semus,RB,semi
sequin,JJ,sequined
share,JJ,shared
shave,VBN,shaved
shock,JJ,shocking
showtis,NNS,showtimes
shurmur,NNS,shurmur
shutter,JJ,shuttered
size,JJ,sized
skin,JJ,skinned
skus,JJ,ski
slice,JJ,sliced
smoke,JJ,smoked
snob,NNS,snob
soap,NNS,soaps
soma,JJ,somali
southe,JJ,southeast
sovy,JJ,soviet
specialize,JJ,specialized
spid,JJR,spider
spill,VBN,spilled
spin,JJ,spinning
spooky,NNS,spooky
stagger,JJ,staggering
standardize,JJ,standardized
starter,VBP,starter
stay,VBN,stayed
sting,VBG,sting
stirry,JJ,stirring
stre,RB,strong
stun,JJ,stunned
stylize,JJ,stylized
subdue,JJ,subdued
suit,JJ,suited
sullen,VBN,sullen
sunken,VBN,sunken
sunnus,JJ,sunni
surprise,JJ,surprised
sweep,JJ,sweeping
swy,JJ,swiss
tabl,JJ,tablet
tempty,JJ,tempting
terrify,JJ,terrified
terrory,JJ,terrorist
terrum,NN,terra
thatch,JJ,thatched
thaus,JJ,thai
their,JJ,theirs
threaten,JJ,threatening
thrive,VBN,thrived
thrivy,JJ,thriving
